GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,facebook.com,com,478700,2765795,facebook.com,com,1,1,478942,2762694
2,2,google.com,com,476323,2573805,google.com,com,2,2,476543,2572206
3,3,youtube.com,com,433345,2234591,youtube.com,com,3,3,433292,2230371
4,4,twitter.com,com,428189,2245473,twitter.com,com,4,4,428362,2242739
5,5,instagram.com,com,330365,1542027,instagram.com,com,5,5,330151,1538729
6,6,linkedin.com,com,325310,1388412,linkedin.com,com,6,6,325575,1386332
7,7,microsoft.com,com,311664,1129780,microsoft.com,com,7,7,311970,1129711
8,8,apple.com,com,284708,965029,apple.com,com,8,8,284884,963556
9,1,wikipedia.org,org,280886,1055630,wikipedia.org,org,9,1,281006,1054761
10,9,plus.google.com,com,255525,1077115,plus.google.com,com,10,9,255676,1076805
11,2,en.wikipedia.org,org,235455,790121,en.wikipedia.org,org,11,2,235620,789271
12,10,googletagmanager.com,com,226348,747629,googletagmanager.com,com,12,10,226253,744953
13,1,youtu.be,be,225274,753000,youtu.be,be,13,1,225210,751482
14,11,adobe.com,com,221559,668715,adobe.com,com,14,11,221833,668849
15,12,vimeo.com,com,219961,829185,vimeo.com,com,15,12,219719,827195
16,13,pinterest.com,com,217870,887380,pinterest.com,com,16,13,217736,885723
17,14,itunes.apple.com,com,216230,618352,itunes.apple.com,com,17,14,216483,617798
18,15,play.google.com,com,212480,615621,play.google.com,com,18,15,212531,614386
19,16,maps.google.com,com,206647,710161,maps.google.com,com,20,16,206592,708802
20,1,goo.gl,gl,206536,674074,goo.gl,gl,19,1,206596,673379
21,17,wordpress.com,com,200583,673076,wordpress.com,com,21,17,200590,672599
22,18,blogspot.com,com,190263,623384,blogspot.com,com,22,18,191338,625247
23,1,bit.ly,ly,187562,569667,bit.ly,ly,23,1,187491,568236
24,19,github.com,com,184635,505797,github.com,com,24,19,184948,506283
25,20,player.vimeo.com,com,183949,654297,player.vimeo.com,com,25,20,183767,652424
26,21,amazon.com,com,179467,553746,amazon.com,com,26,21,179349,553036
27,3,wordpress.org,org,177141,694387,wordpress.org,org,27,3,176981,693762
28,22,docs.google.com,com,175666,517357,docs.google.com,com,28,22,175404,516465
29,23,yahoo.com,com,172268,476817,yahoo.com,com,29,23,172122,475213
30,4,mozilla.org,org,160155,453267,mozilla.org,org,30,4,159184,449495
31,24,godaddy.com,com,157961,461474,godaddy.com,com,31,24,158308,463438
32,25,tumblr.com,com,157841,522935,tumblr.com,com,32,25,157806,522343
33,26,flickr.com,com,146667,429815,flickr.com,com,33,26,146748,429384
34,27,parked-content.godaddy.com,com,142843,398246,parked-content.godaddy.com,com,34,27,143138,400250
35,28,drive.google.com,com,141378,377720,drive.google.com,com,35,28,141077,376329
36,29,support.google.com,com,135190,424098,support.google.com,com,36,29,134992,422530
37,5,apache.org,org,134762,292479,apache.org,org,37,5,134988,292812
38,30,gravatar.com,com,133358,435622,gravatar.com,com,38,30,133431,435986
39,1,europa.eu,eu,132087,419651,europa.eu,eu,39,1,132308,419173
40,31,qq.com,com,130797,1279916,qq.com,com,40,31,131054,1286098
41,6,w3.org,org,129886,292359,w3.org,org,41,6,129883,292296
42,32,nytimes.com,com,128737,349588,nytimes.com,com,42,32,128820,349229
43,33,reddit.com,com,127748,391997,reddit.com,com,43,33,127830,391839
44,34,macromedia.com,com,127678,340716,macromedia.com,com,44,34,127784,341343
45,1,sourceforge.net,net,121487,267071,sourceforge.net,net,45,1,121734,267302
46,35,get.adobe.com,com,121444,278559,get.adobe.com,com,48,37,120738,275389
47,36,soundcloud.com,com,121425,361081,soundcloud.com,com,46,35,121407,360747
48,37,sites.google.com,com,121242,294211,sites.google.com,com,47,36,121360,294386
49,1,nih.gov,gov,119020,302208,nih.gov,gov,49,1,118960,301516
50,38,amazonaws.com,com,118751,270565,amazonaws.com,com,50,38,118845,269952
51,1,t.co,co,115249,322000,t.co,co,51,1,115356,321569
52,39,support.microsoft.com,com,113207,263592,support.microsoft.com,com,52,39,113420,263346
53,40,forbes.com,com,111677,279612,forbes.com,com,53,40,111710,279128
54,41,theguardian.com,com,111035,288019,theguardian.com,com,54,41,111009,287379
55,42,cnn.com,com,109435,273814,cnn.com,com,55,42,109508,273509
56,1,github.io,io,107876,243697,github.io,io,56,1,107867,242949
57,1,bbc.co.uk,uk,107261,271990,bbc.co.uk,uk,57,1,107405,271580
58,43,dropbox.com,com,106587,258199,dropbox.com,com,58,43,106706,258138
59,44,medium.com,com,105764,256032,medium.com,com,59,44,105616,254754
60,45,whatsapp.com,com,105634,337846,whatsapp.com,com,60,45,105456,336945
61,7,creativecommons.org,org,104675,245965,creativecommons.org,org,61,7,104665,245734
62,2,www.ncbi.nlm.nih.gov,gov,103872,254254,www.ncbi.nlm.nih.gov,gov,62,2,103946,254073
63,8,httpd.apache.org,org,102822,216542,httpd.apache.org,org,63,8,102973,216897
64,9,archive.org,org,102523,256067,archive.org,org,64,9,102561,255876
65,2,ec.europa.eu,eu,102309,301023,ec.europa.eu,eu,65,2,102218,300103
66,2,php.net,net,102067,221657,php.net,net,66,2,102182,222097
67,46,weebly.com,com,101985,251017,weebly.com,com,67,46,102101,251031
68,47,apps.apple.com,com,101290,210961,apps.apple.com,com,68,47,101095,209733
69,48,support.apple.com,com,100698,269262,support.apple.com,com,-1,-1,-1,-1
70,49,weibo.com,com,98674,508647,weibo.com,com,69,48,98831,510455
71,50,wixsite.com,com,98285,237491,wixsite.com,com,71,50,98313,237597
72,51,issuu.com,com,97779,236114,issuu.com,com,72,51,97685,235857
73,1,who.int,int,96990,212015,who.int,int,73,1,97000,211237
74,52,paypal.com,com,95980,256799,paypal.com,com,74,52,95928,256629
75,53,m.facebook.com,com,95066,264770,m.facebook.com,com,76,54,95089,264496
76,54,accounts.google.com,com,95021,220505,accounts.google.com,com,80,57,92840,215078
77,55,oracle.com,com,94679,174129,oracle.com,com,75,53,95678,177508
78,56,msn.com,com,94163,212624,msn.com,com,77,55,94115,212996
79,10,gnu.org,org,93311,197559,gnu.org,org,79,10,92973,195833
80,57,tinyurl.com,com,93121,214761,tinyurl.com,com,78,56,93270,214721
81,58,reuters.com,com,92174,211607,reuters.com,com,81,58,92165,211357
82,59,l.facebook.com,com,91710,239346,l.facebook.com,com,82,59,91585,238825
83,60,wsj.com,com,91336,213316,wsj.com,com,83,60,91342,212824
84,61,cloudflare.com,com,90848,266730,cloudflare.com,com,84,61,90733,266447
85,62,domainmarket.com,com,90620,231106,domainmarket.com,com,85,62,90733,231431
86,63,washingtonpost.com,com,90407,220248,washingtonpost.com,com,86,63,90507,219958
87,64,imdb.com,com,89799,226004,imdb.com,com,87,64,89914,226069
88,65,bing.com,com,89320,198121,bing.com,com,89,66,89331,198194
89,66,bbc.com,com,89210,209582,bbc.com,com,88,65,89855,210182
90,67,vk.com,com,88130,292992,vk.com,com,70,49,98449,330217
91,68,opera.com,com,88102,213927,opera.com,com,90,67,88099,213546
92,3,slideshare.net,net,87815,189737,slideshare.net,net,92,3,87872,189441
93,69,wpa.qq.com,com,87614,713426,wpa.qq.com,com,91,68,87873,715913
94,70,api.whatsapp.com,com,87531,274233,api.whatsapp.com,com,93,69,87392,273528
95,3,cdc.gov,gov,87466,209494,cdc.gov,gov,94,3,87355,208373
96,1,harvard.edu,edu,86893,192153,harvard.edu,edu,96,1,86930,191888
97,2,mit.edu,edu,86857,178977,mit.edu,edu,97,2,86920,178803
98,71,code.google.com,com,86694,204286,code.google.com,com,-1,-1,-1,-1
99,11,wikimedia.org,org,86560,202638,wikimedia.org,org,98,11,86533,202537
100,72,youtube-nocookie.com,com,85848,214494,youtube-nocookie.com,com,99,71,85847,214212
101,73,bloomberg.com,com,85662,193247,bloomberg.com,com,95,70,86977,195461
102,74,ibm.com,com,85559,159133,ibm.com,com,100,72,85675,159476
103,75,wix.com,com,84790,191674,wix.com,com,101,73,84978,191935
